dataset,model,variant,roc_auc,auc_95ci_lo,auc_95ci_hi,accuracy,f1,precision,recall,avg_precision,log_loss
rosbank,xgboost,a_baseline,0.7680740803670036,0.7398457748122443,0.7962163453579211,0.706,0.7332123411978222,0.7358834244080146,0.7305605786618445,0.8103780470668125,0.6247621177007352
rosbank,xgboost,b_with_pseudo,0.9117241323510968,0.8942466670572276,0.9297453890016864,0.85,0.8638838475499092,0.8670309653916212,0.8607594936708861,0.9251273876564514,0.42742360468768253
rosbank,xgboost,c_with_tfidf,0.9124239960192727,0.8942154180061358,0.9300765780002663,0.847,0.8607825295723385,0.8663003663003663,0.8553345388788427,0.9271351783310718,0.42065088366036846
rosbank,xgboost,d_pseudo_only,0.8510119705005441,0.8253255657965242,0.8763976848402222,0.853,0.8657534246575342,0.8745387453874539,0.8571428571428571,0.8507296937582363,0.44122084745946766
rosbank,xgboost,e_llm_raw,0.8566978571226299,0.8304151129556624,0.8816074395743094,0.854,0.8665447897623401,0.8761552680221811,0.8571428571428571,0.8331039040222148,0.4618638823895188
rosbank,catboost,a_baseline,0.771480353249107,0.7445400712180134,0.8009116206205212,0.709,0.7366515837104073,0.7373188405797102,0.7359855334538878,0.81374280594621,0.5835113087524678
rosbank,catboost,b_with_pseudo,0.9190180872280949,0.9020299490732204,0.9358439453755395,0.858,0.8711433756805808,0.8743169398907104,0.8679927667269439,0.9354583841456323,0.3649096141959694
rosbank,catboost,c_with_tfidf,0.9171733598715163,0.8991132733878592,0.934757450773153,0.857,0.8698817106460418,0.8754578754578755,0.864376130198915,0.93358722348531,0.36540561172091124
rosbank,catboost,d_pseudo_only,0.8529618796800854,0.8260818178239213,0.8780911419659804,0.854,0.8665447897623401,0.8761552680221811,0.8571428571428571,0.8500529984493191,0.43189313308545146
rosbank,catboost,e_llm_raw,0.8566978571226299,0.8304151129556624,0.8816074395743094,0.854,0.8665447897623401,0.8761552680221811,0.8571428571428571,0.8331039040222148,0.4618638823895188
